driver_age,driver_gender,driving_experience_years,accident_history_count,license_points,vehicle_type,vehicle_age_years,vehicle_value_brl,annual_mileage_km,usage_type,region,city_size,coverage_type,has_deductible,monthly_insurance_cost
52,F,33,0,2,SUV,0,146723,16316,Trabalho,Sul,Grande,Básica,1,539.25
50,F,31,0,4,SUV,8,116568,6421,Pessoal,Sul,Media,Básica,1,234.37
50,F,32,0,0,SUV,0,156905,18510,Entrega,Sul,Grande,Completa,1,1310.45
68,M,50,3,8,Sedan,9,42632,29966,Trabalho,Centro-Oeste,Grande,Intermediária,0,850.94
60,M,42,2,6,SUV,1,148349,27152,Pessoal,Sudeste,Media,Básica,1,943.0
54,F,35,1,0,Sedan,2,61002,24202,Pessoal,Sudeste,Grande,Intermediária,0,552.59
29,F,11,0,4,Sedan,6,46266,16152,Pessoal,Nordeste,Media,Intermediária,1,150.0
20,M,2,0,2,Minivan,8,61330,10617,Pessoal,Nordeste,Media,Intermediária,1,337.69
18,M,0,2,0,Hatchback,2,54980,6195,Pessoal,Norte,Pequena,Básica,1,209.36
50,M,32,1,0,Hatchback,7,22017,11229,Pessoal,Centro-Oeste,Grande,Completa,1,150.0
57,M,39,0,2,SUV,14,78585,10305,Trabalho,Sudeste,Pequena,Básica,0,279.75
27,F,8,1,4,Sports,8,216011,13077,Pessoal,Sudeste,Pequena,Básica,0,1372.29
60,F,41,0,0,Hatchback,9,23001,20880,Pessoal,Sul,Pequena,Intermediária,0,150.0
61,M,41,0,2,Pickup,6,97044,14345,Trabalho,Sul,Media,Básica,1,353.85
46,F,28,1,2,SUV,3,130524,22226,Pessoal,Sudeste,Pequena,Intermediária,1,790.18
30,F,10,0,4,Minivan,3,80250,10200,Pessoal,Norte,Media,Básica,0,254.48
29,M,10,4,0,Pickup,3,102512,27305,Pessoal,Sul,Grande,Intermediária,0,1081.95
48,M,28,0,6,Sports,5,215319,14874,Pessoal,Sul,Media,Completa,1,2012.29
63,M,44,0,0,Sedan,3,65416,5294,Entrega,Sul,Media,Intermediária,1,345.95
19,M,0,0,0,Sedan,4,53600,11097,Pessoal,Centro-Oeste,Pequena,Intermediária,0,320.71
68,F,48,2,0,Sedan,8,35279,11412,Pessoal,Sudeste,Media,Intermediária,0,287.43
67,M,49,1,0,Sedan,11,33151,13836,Pessoal,Sudeste,Grande,Intermediária,0,222.98
52,F,32,1,6,Sports,6,225494,16825,Pessoal,Sul,Media,Completa,1,2744.53
40,M,22,0,0,Sedan,7,53182,11678,Pessoal,Sudeste,Pequena,Básica,0,150.0
34,M,16,0,4,Sedan,4,62398,20735,Trabalho,Sul,Grande,Completa,1,499.99
43,M,25,1,0,Sedan,4,50282,26404,Uber,Sudeste,Grande,Completa,1,694.57
25,M,7,2,0,Sedan,12,24030,10743,Pessoal,Sul,Media,Intermediária,1,150.0
46,M,26,3,12,Sedan,10,35302,21494,Pessoal,Nordeste,Grande,Básica,0,256.32
43,F,24,0,4,Pickup,6,85166,13775,Trabalho,Sudeste,Grande,Básica,1,331.09
27,F,8,1,0,Hatchback,10,20000,16417,Pessoal,Centro-Oeste,Grande,Intermediária,1,150.0
43,F,24,3,2,Sedan,12,24677,14678,Pessoal,Sudeste,Pequena,Completa,1,150.0
51,M,31,0,0,SUV,13,91373,9864,Pessoal,Sudeste,Grande,Intermediária,0,476.72
68,M,50,2,0,SUV,11,89896,18467,Pessoal,Sul,Grande,Básica,1,558.3
58,M,39,0,4,Sedan,7,51514,6648,Pessoal,Sudeste,Media,Básica,1,150.0
24,F,4,3,4,Hatchback,8,20000,20677,Trabalho,Sudeste,Pequena,Intermediária,0,336.49
21,M,3,2,0,Hatchback,14,20000,20918,Trabalho,Sudeste,Pequena,Intermediária,1,150.0
67,M,48,3,6,Hatchback,13,20000,27765,Pessoal,Centro-Oeste,Grande,Básica,1,193.22
62,F,44,1,2,Hatchback,1,63595,7381,Pessoal,Nordeste,Pequena,Básica,1,150.0
28,M,9,0,0,Sedan,2,69740,21489,Uber,Nordeste,Grande,Intermediária,0,362.62
46,M,27,3,2,Minivan,11,47559,16745,Pessoal,Sul,Media,Intermediária,0,258.61
53,M,34,0,2,Pickup,11,64973,10818,Uber,Centro-Oeste,Media,Intermediária,1,396.53
42,F,24,0,2,Sports,1,241276,14886,Pessoal,Sul,Grande,Completa,0,2634.05
38,F,18,2,0,Sedan,9,33152,5381,Pessoal,Centro-Oeste,Media,Intermediária,1,158.38
53,M,35,2,2,Minivan,6,67973,9356,Pessoal,Sudeste,Grande,Básica,1,325.0
27,M,8,3,0,Pickup,11,70333,10918,Uber,Sul,Pequena,Intermediária,1,407.75
54,F,36,0,4,Pickup,1,105037,6316,Pessoal,Nordeste,Grande,Completa,1,517.41
26,F,6,2,2,Sedan,11,20990,10454,Pessoal,Centro-Oeste,Media,Completa,0,207.65
41,M,23,2,0,Hatchback,13,20000,18107,Pessoal,Sudeste,Grande,Completa,1,150.0
52,F,32,0,4,Minivan,14,35735,9074,Uber,Sul,Grande,Intermediária,1,256.08
66,M,46,0,8,Hatchback,1,55856,26188,Uber,Sudeste,Pequena,Completa,0,815.82
52,F,34,0,8,Hatchback,13,20000,19811,Entrega,Norte,Media,Completa,0,167.05
65,F,46,0,0,Minivan,13,25058,22290,Entrega,Sudeste,Pequena,Intermediária,0,207.99
53,M,33,4,0,SUV,1,137636,12621,Pessoal,Norte,Grande,Básica,0,810.73
35,F,17,1,2,Hatchback,14,20000,22046,Pessoal,Sul,Grande,Completa,1,150.0
66,F,46,2,0,SUV,11,100577,28102,Pessoal,Sudeste,Media,Intermediária,1,1050.38
56,F,37,4,8,Minivan,12,48998,21126,Pessoal,Nordeste,Media,Básica,0,359.36
49,M,31,0,0,Sedan,3,62296,13654,Trabalho,Sudeste,Grande,Básica,0,156.37
41,M,23,2,0,SUV,0,152670,17872,Uber,Sul,Media,Intermediária,0,1530.25
40,M,22,1,0,Hatchback,1,54725,22326,Pessoal,Sudeste,Grande,Intermediária,1,232.9
49,F,30,3,0,Pickup,2,102674,19951,Trabalho,Centro-Oeste,Grande,Básica,0,843.14
54,M,34,0,4,Hatchback,6,35796,13349,Uber,Centro-Oeste,Grande,Intermediária,1,187.3
29,F,11,3,0,Sports,9,206065,27799,Pessoal,Nordeste,Media,Completa,1,3000.0
66,F,46,0,0,Minivan,0,109504,24693,Pessoal,Nordeste,Media,Intermediária,1,472.84
30,M,10,0,0,Sedan,5,56026,22710,Pessoal,Centro-Oeste,Media,Básica,0,150.0
40,F,21,2,2,SUV,2,132076,15909,Pessoal,Sul,Media,Intermediária,1,652.58
42,M,24,0,0,Sedan,2,79574,15760,Pessoal,Sudeste,Grande,Básica,1,219.48
52,F,32,1,2,SUV,3,129787,16584,Pessoal,Nordeste,Pequena,Intermediária,1,553.96
58,M,40,1,2,SUV,12,87494,7106,Pessoal,Norte,Pequena,Intermediária,1,355.9
47,M,29,2,4,Sports,3,244961,18669,Entrega,Sul,Media,Completa,1,3000.0
34,M,15,0,8,Pickup,6,82581,26183,Pessoal,Sudeste,Grande,Intermediária,1,648.06
66,M,48,0,6,Sedan,2,75600,7938,Pessoal,Sudeste,Media,Básica,1,253.32
37,F,19,0,8,Sedan,7,49333,7483,Entrega,Sul,Media,Intermediária,1,232.1
65,F,45,1,0,Hatchback,7,25404,6375,Pessoal,Sudeste,Pequena,Intermediária,1,150.0
42,F,23,0,0,SUV,10,101166,29240,Pessoal,Centro-Oeste,Pequena,Completa,1,559.1
39,M,21,0,0,Sedan,12,20000,15015,Trabalho,Sul,Pequena,Completa,0,150.0
30,M,10,0,6,Sports,6,228047,21628,Pessoal,Nordeste,Grande,Básica,1,1386.81
36,M,17,0,10,Sports,1,243748,23732,Trabalho,Nordeste,Pequena,Básica,1,1624.57
66,F,47,1,6,SUV,4,135577,20060,Pessoal,Norte,Media,Básica,0,725.82
53,F,33,3,0,Sports,5,230015,21863,Pessoal,Sul,Pequena,Completa,1,2911.03
29,M,9,0,8,SUV,11,101108,15654,Pessoal,Sudeste,Grande,Básica,0,556.56
58,M,38,1,0,Hatchback,9,20000,23319,Pessoal,Sudeste,Grande,Básica,1,150.0
36,F,16,1,0,SUV,3,142654,19253,Trabalho,Sudeste,Media,Intermediária,1,925.27
29,F,9,1,0,Sedan,12,22936,27141,Trabalho,Sudeste,Grande,Básica,0,150.0
26,F,8,2,0,Sports,9,204601,16565,Uber,Nordeste,Grande,Básica,1,1946.39
24,F,6,1,2,SUV,4,123646,5087,Trabalho,Sul,Pequena,Intermediária,0,866.33
45,M,26,1,0,Hatchback,13,20000,14432,Pessoal,Norte,Grande,Básica,0,150.0
31,M,13,0,0,SUV,8,114878,13764,Trabalho,Nordeste,Grande,Intermediária,0,517.47
48,F,30,1,2,Sedan,10,38438,5178,Trabalho,Nordeste,Grande,Completa,1,205.06
69,F,51,1,6,Sedan,6,49145,21546,Trabalho,Nordeste,Grande,Básica,1,242.34
36,M,16,0,2,SUV,1,153226,7640,Trabalho,Sudeste,Pequena,Intermediária,0,750.97
64,F,45,0,0,Hatchback,10,20000,14197,Pessoal,Nordeste,Grande,Completa,1,150.0
33,F,14,4,4,SUV,0,156365,23732,Pessoal,Sudeste,Grande,Completa,0,3000.0
22,F,3,1,6,Hatchback,1,51105,7421,Trabalho,Nordeste,Pequena,Intermediária,1,252.79
52,F,33,1,0,Hatchback,2,58944,15947,Pessoal,Sul,Pequena,Intermediária,0,150.0
29,M,11,3,2,Hatchback,10,20000,25682,Pessoal,Sudeste,Grande,Básica,0,221.83
42,F,24,2,0,SUV,1,137749,25526,Trabalho,Sudeste,Media,Intermediária,0,1425.17
69,F,49,1,0,Sports,10,206974,25887,Pessoal,Sudeste,Media,Completa,1,3000.0
38,F,19,2,2,SUV,2,147752,6217,Pessoal,Sudeste,Media,Intermediária,1,889.87
53,F,35,3,6,SUV,9,105181,7474,Pessoal,Sudeste,Media,Intermediária,1,803.44
40,F,22,1,0,Sedan,14,20000,5929,Trabalho,Nordeste,Pequena,Básica,0,150.0
33,M,13,1,4,SUV,10,93773,12958,Pessoal,Sudeste,Grande,Intermediária,1,608.52
56,F,36,0,6,Sedan,10,33495,29892,Trabalho,Sudeste,Grande,Intermediária,1,226.91
62,F,42,4,6,Hatchback,14,20000,6502,Pessoal,Sul,Grande,Intermediária,0,150.0
59,F,41,1,0,Sedan,11,33799,5420,Pessoal,Sudeste,Grande,Básica,0,150.0
56,F,38,0,6,SUV,13,94335,18580,Pessoal,Sudeste,Pequena,Intermediária,0,688.47
31,F,11,3,0,Pickup,11,60616,20840,Trabalho,Centro-Oeste,Media,Intermediária,1,403.08
48,M,29,1,2,SUV,8,107975,10830,Pessoal,Sul,Grande,Básica,1,304.33
22,M,2,0,0,Sedan,3,65960,25742,Entrega,Sul,Grande,Básica,1,560.58
52,M,32,1,0,Sedan,11,30324,22833,Uber,Sudeste,Grande,Básica,0,211.65
40,M,20,1,4,Pickup,8,76243,10811,Trabalho,Sudeste,Pequena,Intermediária,0,530.93
46,F,26,3,0,Sedan,10,29560,13619,Uber,Sudeste,Media,Intermediária,1,226.27
60,F,42,0,0,SUV,2,144684,29255,Pessoal,Nordeste,Media,Completa,0,935.85
28,M,9,2,0,SUV,11,93330,29972,Pessoal,Sudeste,Media,Básica,1,598.04
35,M,15,1,2,Hatchback,0,54923,18527,Trabalho,Sudeste,Media,Completa,1,330.87
64,F,45,0,0,Hatchback,10,20000,21223,Trabalho,Centro-Oeste,Media,Intermediária,0,150.0
29,M,10,4,4,Pickup,4,96076,5106,Uber,Sul,Grande,Intermediária,1,1046.17
26,M,7,1,0,Sedan,9,33001,9049,Trabalho,Centro-Oeste,Pequena,Básica,1,150.0
27,M,7,0,0,Sedan,9,40303,13289,Entrega,Sudeste,Media,Básica,1,150.0
61,M,43,1,0,Sedan,13,22699,6903,Pessoal,Sudeste,Media,Completa,1,150.0
34,M,14,3,0,Sedan,1,81457,29033,Trabalho,Nordeste,Pequena,Intermediária,0,699.32
55,M,36,0,0,Sedan,3,63675,24954,Trabalho,Sul,Pequena,Intermediária,1,211.36
24,M,5,0,0,SUV,1,147303,16493,Trabalho,Nordeste,Pequena,Básica,1,632.16
63,F,45,0,8,SUV,1,152933,10376,Pessoal,Sudeste,Pequena,Completa,1,1316.96
30,M,10,0,2,Hatchback,12,20000,5042,Trabalho,Centro-Oeste,Grande,Básica,1,150.0
57,F,38,2,0,SUV,2,145128,27769,Uber,Nordeste,Media,Intermediária,1,1330.5
59,M,41,1,0,Hatchback,4,48280,6577,Pessoal,Nordeste,Media,Intermediária,0,199.13
26,M,7,0,6,SUV,3,131659,17382,Trabalho,Centro-Oeste,Grande,Intermediária,0,1061.46
67,F,49,0,0,Sedan,1,70246,27449,Pessoal,Nordeste,Pequena,Intermediária,0,288.18
44,M,26,0,0,SUV,14,76967,10885,Entrega,Sudeste,Media,Intermediária,0,380.53
19,M,0,3,4,Sedan,10,26661,13576,Pessoal,Sudeste,Media,Completa,0,612.06
22,F,3,0,2,Sedan,13,20000,18106,Pessoal,Sul,Pequena,Completa,0,187.59
46,F,26,4,2,SUV,13,75510,16663,Pessoal,Sul,Grande,Completa,1,905.42
54,M,35,1,0,Minivan,9,53614,8577,Trabalho,Nordeste,Media,Básica,1,164.8
55,M,35,0,0,Hatchback,1,47432,24622,Pessoal,Sul,Media,Completa,1,201.31
36,F,17,3,2,Sedan,13,20000,21142,Trabalho,Sul,Grande,Básica,1,157.65
25,M,5,1,0,Pickup,5,100554,10244,Uber,Nordeste,Grande,Básica,0,369.75
65,F,47,2,2,Hatchback,6,36448,7134,Uber,Sul,Pequena,Completa,1,246.5
62,F,43,4,2,Hatchback,11,20000,8892,Pessoal,Sudeste,Media,Completa,1,189.83
18,F,0,0,0,Pickup,9,69710,9321,Entrega,Sudeste,Pequena,Intermediária,0,812.72
39,M,21,0,8,SUV,5,126540,10776,Trabalho,Sudeste,Media,Completa,1,1062.88
69,F,49,2,4,Sedan,6,46124,15584,Pessoal,Nordeste,Grande,Completa,0,560.03
34,F,15,0,4,SUV,0,147837,21119,Pessoal,Sudeste,Grande,Intermediária,0,1225.77
24,M,5,0,0,SUV,5,130583,10828,Pessoal,Sudeste,Grande,Intermediária,0,1029.68
42,M,22,0,0,SUV,10,107184,25199,Trabalho,Centro-Oeste,Pequena,Completa,1,739.56
62,F,44,0,0,Hatchback,2,46109,5295,Pessoal,Sudeste,Grande,Básica,1,150.0
21,M,1,2,0,Minivan,0,99909,5413,Pessoal,Centro-Oeste,Pequena,Básica,1,535.7
53,M,33,0,10,Sports,7,211659,27340,Trabalho,Nordeste,Pequena,Completa,1,2966.39
23,M,3,1,0,Sports,3,226238,15187,Pessoal,Sudeste,Pequena,Intermediária,0,2784.15
48,F,29,1,0,Pickup,9,80064,27662,Trabalho,Sudeste,Media,Básica,1,385.79
36,F,18,1,0,Minivan,7,60620,19316,Trabalho,Sul,Pequena,Intermediária,1,279.86
61,F,43,0,2,Sedan,9,26486,11668,Pessoal,Centro-Oeste,Grande,Intermediária,0,150.0
56,M,36,2,0,Sedan,13,20000,20344,Uber,Sul,Grande,Completa,1,285.6
44,M,25,0,0,SUV,10,101490,13195,Pessoal,Sudeste,Grande,Intermediária,0,506.94
27,F,7,2,0,Pickup,3,99470,21561,Pessoal,Nordeste,Pequena,Intermediária,0,515.21
43,M,24,3,6,SUV,3,136723,9354,Trabalho,Sudeste,Grande,Completa,1,2278.67
36,M,17,1,0,Hatchback,11,20000,27298,Pessoal,Sudeste,Media,Completa,1,186.99
56,F,37,1,6,Sedan,13,20000,10482,Entrega,Nordeste,Grande,Intermediária,1,150.0
20,F,1,1,4,Sedan,9,38201,21076,Pessoal,Sudeste,Grande,Completa,1,704.23
62,F,44,0,0,Hatchback,3,40441,20376,Pessoal,Centro-Oeste,Grande,Intermediária,1,214.41
30,F,11,3,4,Sedan,5,63224,8271,Uber,Centro-Oeste,Pequena,Básica,1,236.06
67,F,48,3,0,SUV,13,86719,28071,Pessoal,Sul,Media,Básica,1,657.33
45,M,25,0,8,Sedan,8,35397,15674,Trabalho,Norte,Pequena,Intermediária,1,150.0
37,F,17,1,2,SUV,4,121621,10392,Pessoal,Sul,Media,Intermediária,1,581.66
45,F,27,3,0,Hatchback,11,20000,21673,Trabalho,Norte,Pequena,Intermediária,1,150.0
25,M,5,4,0,SUV,12,97800,19309,Pessoal,Sul,Media,Intermediária,1,682.32
58,F,39,1,0,Hatchback,9,20000,29809,Pessoal,Sudeste,Media,Básica,1,150.0
56,F,36,1,10,Sedan,13,20000,21791,Pessoal,Sul,Media,Básica,1,150.0
18,F,0,0,0,Pickup,14,41130,5693,Pessoal,Sul,Media,Intermediária,1,154.85
20,F,0,4,2,SUV,7,119071,6169,Trabalho,Centro-Oeste,Pequena,Básica,0,1466.27
30,F,10,0,0,Hatchback,7,34981,13623,Pessoal,Centro-Oeste,Media,Intermediária,1,150.0
45,F,27,1,8,Hatchback,3,46936,12782,Pessoal,Nordeste,Pequena,Intermediária,1,243.24
66,M,48,0,0,Sedan,14,20000,18856,Pessoal,Sudeste,Media,Intermediária,1,150.0
42,F,23,0,2,Sports,10,190663,14174,Trabalho,Sudeste,Grande,Intermediária,1,1727.84
50,M,30,1,0,Hatchback,9,24018,16352,Trabalho,Centro-Oeste,Media,Intermediária,0,172.65
55,M,36,5,4,SUV,8,115735,24428,Pessoal,Sudeste,Grande,Completa,1,2540.26
23,M,3,0,0,Sedan,8,49158,10530,Pessoal,Centro-Oeste,Media,Completa,0,325.91
61,M,41,1,0,Minivan,4,89874,9992,Pessoal,Centro-Oeste,Media,Completa,0,751.28
62,M,43,0,0,Pickup,5,94763,25308,Trabalho,Sul,Pequena,Intermediária,1,612.77
49,F,29,0,4,Sedan,4,67907,28354,Pessoal,Nordeste,Grande,Básica,1,243.78
62,F,42,1,0,SUV,2,138053,8312,Pessoal,Centro-Oeste,Grande,Intermediária,1,864.96
64,F,44,1,2,Pickup,10,77371,18065,Trabalho,Centro-Oeste,Grande,Completa,1,1009.58
38,M,20,0,0,Hatchback,7,20000,9318,Uber,Sul,Grande,Básica,0,150.0
33,F,14,0,6,Pickup,8,83496,19059,Pessoal,Sudeste,Pequena,Básica,0,339.65
38,F,20,0,8,SUV,14,76301,6688,Trabalho,Sudeste,Pequena,Básica,1,240.62
28,F,9,0,2,Hatchback,3,46885,5467,Pessoal,Sudeste,Media,Intermediária,0,150.0
54,M,35,4,0,SUV,8,116482,14537,Uber,Sul,Pequena,Intermediária,0,1252.44
53,M,33,3,0,Sedan,8,32288,7422,Pessoal,Nordeste,Grande,Básica,1,150.0
52,M,33,0,0,Hatchback,6,27796,28663,Pessoal,Centro-Oeste,Grande,Completa,1,150.0
36,M,18,1,0,Minivan,7,62263,25891,Uber,Sudeste,Grande,Intermediária,1,582.75
37,M,19,3,2,SUV,14,82777,19604,Pessoal,Sul,Pequena,Intermediária,0,613.92
35,F,17,0,2,SUV,2,138770,9721,Pessoal,Norte,Media,Intermediária,0,556.49
64,M,45,2,8,Hatchback,14,20000,26755,Pessoal,Sul,Media,Básica,1,177.31
58,M,40,3,0,SUV,4,134862,14203,Trabalho,Nordeste,Grande,Intermediária,1,1010.42
66,M,47,0,2,Pickup,2,108464,12541,Pessoal,Norte,Grande,Intermediária,1,549.63
31,M,13,0,0,Pickup,6,84881,14869,Uber,Centro-Oeste,Pequena,Intermediária,0,466.81
32,M,14,4,2,Sedan,5,61018,19785,Pessoal,Norte,Grande,Completa,0,711.87
48,M,29,1,0,Minivan,10,55691,18679,Pessoal,Centro-Oeste,Media,Intermediária,0,233.35
18,M,0,0,0,Pickup,2,109367,17542,Pessoal,Sul,Grande,Básica,1,558.67
20,F,0,0,0,Sports,8,200413,22870,Pessoal,Sul,Grande,Intermediária,0,3000.0
33,F,14,1,4,Hatchback,11,20000,19461,Trabalho,Sudeste,Media,Completa,1,150.0
40,M,21,1,8,Sports,0,254714,16038,Trabalho,Sul,Grande,Básica,0,2684.11
28,M,9,2,0,Sedan,9,32141,17252,Pessoal,Centro-Oeste,Media,Básica,1,150.0
29,F,9,5,0,SUV,2,143182,14770,Pessoal,Sudeste,Media,Intermediária,0,1480.53
27,M,8,0,0,Sports,14,186225,8749,Trabalho,Nordeste,Media,Intermediária,1,970.72
49,M,31,1,2,Sedan,14,20000,16817,Trabalho,Sudeste,Media,Básica,0,169.46
33,F,15,1,0,Sedan,14,20000,29443,Trabalho,Sudeste,Media,Intermediária,1,150.0
25,M,7,1,4,Pickup,10,76424,7503,Trabalho,Norte,Grande,Intermediária,1,414.25
55,F,36,0,10,Pickup,14,54175,12855,Pessoal,Sul,Media,Completa,0,379.78
29,F,11,4,8,Sedan,9,35051,18378,Uber,Centro-Oeste,Media,Básica,1,298.2
41,M,22,3,0,Sports,10,195892,16329,Pessoal,Nordeste,Grande,Completa,1,2800.63
45,M,27,1,6,Hatchback,6,23449,28439,Pessoal,Sul,Pequena,Básica,1,150.0
25,F,5,1,4,SUV,2,138327,16101,Trabalho,Sudeste,Media,Intermediária,1,1023.65
45,M,25,0,0,Pickup,13,50909,21783,Uber,Sudeste,Pequena,Intermediária,1,295.46
53,M,33,1,2,SUV,2,142393,25766,Trabalho,Nordeste,Pequena,Intermediária,0,1034.57
43,F,23,1,4,Sedan,1,66941,17149,Pessoal,Centro-Oeste,Grande,Completa,0,669.28
25,F,6,1,0,Sedan,8,34221,19619,Pessoal,Sudeste,Media,Básica,1,150.0
67,M,49,5,0,SUV,10,96543,22923,Pessoal,Nordeste,Grande,Intermediária,1,1222.78
45,F,25,1,0,SUV,3,142942,19985,Uber,Sul,Grande,Básica,0,1005.77
45,M,26,0,2,Pickup,9,79012,20026,Pessoal,Nordeste,Pequena,Intermediária,1,245.83
54,F,34,2,0,Pickup,12,52121,13428,Trabalho,Nordeste,Media,Básica,0,255.07
58,F,38,0,6,Hatchback,5,42412,28569,Pessoal,Nordeste,Grande,Completa,1,323.26
53,F,34,0,2,Pickup,1,116726,26294,Trabalho,Nordeste,Media,Completa,1,826.08
44,M,25,0,2,Sedan,8,35656,14119,Uber,Sudeste,Pequena,Completa,1,251.99
34,F,16,1,0,Sedan,14,20000,25893,Pessoal,Norte,Media,Básica,0,150.0
26,M,8,2,2,Sports,6,229422,27435,Pessoal,Sudeste,Media,Intermediária,1,2855.54
50,F,30,1,0,Sedan,9,40764,27536,Trabalho,Centro-Oeste,Media,Básica,1,150.0
37,M,17,2,0,Sedan,4,65873,29995,Pessoal,Sul,Grande,Completa,1,634.96
30,M,12,1,2,Hatchback,6,31079,9124,Trabalho,Norte,Grande,Intermediária,0,219.23
45,M,27,0,0,SUV,13,93262,23779,Trabalho,Centro-Oeste,Media,Intermediária,1,542.67
65,F,46,2,2,Sports,3,227271,25334,Pessoal,Nordeste,Media,Intermediária,1,2865.86
46,F,28,0,0,Sedan,12,20000,21375,Trabalho,Sul,Media,Básica,1,150.0
30,M,12,0,0,Sedan,9,44523,5449,Pessoal,Nordeste,Media,Intermediária,1,166.14
63,M,43,1,0,SUV,12,95679,21763,Uber,Nordeste,Media,Básica,1,613.97
52,F,34,0,10,Hatchback,14,20000,20034,Pessoal,Centro-Oeste,Grande,Completa,0,150.0
23,M,3,0,2,SUV,6,113665,14442,Trabalho,Sudeste,Grande,Completa,1,1530.37
35,M,17,1,2,SUV,1,151308,28669,Pessoal,Sudeste,Grande,Intermediária,1,1253.59
68,F,49,1,0,Sports,6,215852,17643,Pessoal,Sul,Media,Completa,0,2973.63
22,F,4,1,0,Sports,14,175462,7301,Pessoal,Sudeste,Grande,Intermediária,1,1943.96
64,F,46,4,10,Sedan,3,73528,12710,Trabalho,Sul,Media,Completa,0,1513.71
42,M,24,1,0,SUV,3,129270,10792,Pessoal,Sudeste,Grande,Intermediária,0,825.86
19,M,0,3,0,SUV,0,155697,14659,Uber,Sul,Media,Intermediária,1,2816.02
27,F,8,0,2,Minivan,11,52760,12216,Pessoal,Sul,Grande,Intermediária,1,219.23
47,F,29,1,0,Minivan,2,83462,16712,Trabalho,Sul,Media,Básica,1,280.22
67,F,47,3,4,Sedan,4,65474,9905,Trabalho,Norte,Grande,Intermediária,1,502.94
62,F,43,1,2,Hatchback,4,30347,20766,Pessoal,Sudeste,Grande,Básica,1,283.29
22,M,2,2,0,SUV,1,151384,10999,Pessoal,Sudeste,Pequena,Completa,1,2194.55
50,F,30,0,0,Sedan,3,55062,29991,Pessoal,Sudeste,Grande,Básica,1,176.41
18,M,0,0,0,Sedan,0,71783,28506,Pessoal,Centro-Oeste,Media,Intermediária,1,582.68
35,M,17,1,6,SUV,14,78417,21983,Pessoal,Norte,Pequena,Completa,1,537.2
49,F,29,0,2,SUV,8,106566,12288,Trabalho,Sul,Media,Básica,0,441.49
64,M,44,3,0,Sedan,0,87426,16266,Pessoal,Sudeste,Pequena,Intermediária,1,615.26
66,M,48,0,0,Hatchback,5,35872,20586,Trabalho,Norte,Grande,Intermediária,1,150.0
28,F,10,4,2,Sedan,6,55318,29305,Uber,Sudeste,Media,Básica,1,583.91
38,M,19,4,2,Hatchback,2,41234,6567,Pessoal,Sul,Media,Completa,1,150.0
43,F,24,0,0,SUV,11,86984,20110,Trabalho,Sul,Grande,Básica,0,403.59
42,M,23,0,0,Sedan,14,20000,21082,Pessoal,Sul,Grande,Básica,1,150.0
39,F,21,3,0,SUV,0,141952,6094,Uber,Norte,Grande,Intermediária,0,1174.6
44,M,24,4,2,Sedan,6,58079,16135,Pessoal,Sudeste,Media,Intermediária,0,497.27
66,M,46,1,10,SUV,2,147338,18508,Trabalho,Norte,Pequena,Completa,1,1695.89
30,F,11,0,0,Sedan,12,20000,17345,Entrega,Norte,Grande,Completa,1,150.0
50,F,32,1,2,SUV,9,103548,14684,Pessoal,Sudeste,Grande,Intermediária,1,787.54
51,M,31,1,0,Sedan,11,29504,11191,Trabalho,Sul,Grande,Intermediária,0,170.91
58,M,39,0,0,Hatchback,11,20000,22842,Pessoal,Sul,Media,Intermediária,1,150.0
52,F,32,2,0,Pickup,5,85968,13046,Pessoal,Sudeste,Media,Básica,1,179.94
18,F,0,0,4,Sedan,12,26625,9934,Trabalho,Sudeste,Grande,Intermediária,0,283.32
38,F,20,0,0,SUV,11,89234,19038,Pessoal,Centro-Oeste,Grande,Completa,0,656.82
65,F,47,0,2,Sedan,13,20000,6354,Trabalho,Sudeste,Media,Intermediária,0,150.0
23,M,3,0,0,Hatchback,5,32349,11473,Pessoal,Norte,Pequena,Básica,1,150.0
45,M,26,0,0,Sedan,13,20000,29788,Uber,Sudeste,Media,Intermediária,1,169.25
34,F,16,1,0,SUV,11,100201,25278,Pessoal,Centro-Oeste,Media,Básica,1,328.29
22,M,2,0,4,SUV,3,141070,17794,Pessoal,Nordeste,Grande,Intermediária,1,1420.53
48,M,30,0,0,Sports,11,193734,29416,Pessoal,Sul,Grande,Intermediária,1,1464.5
22,F,4,0,2,SUV,10,98883,7963,Pessoal,Sul,Grande,Intermediária,1,510.78
55,F,37,4,0,Hatchback,5,26025,19503,Pessoal,Sul,Grande,Intermediária,1,150.0
20,F,0,1,0,SUV,10,102197,8042,Pessoal,Sul,Pequena,Completa,1,1016.37
40,F,21,1,0,Minivan,9,48359,11973,Pessoal,Sudeste,Media,Básica,1,150.0
54,F,35,1,0,Pickup,3,100257,12139,Pessoal,Sudeste,Grande,Completa,1,631.05
54,M,35,4,0,Sedan,14,20000,16226,Pessoal,Sudeste,Grande,Intermediária,0,350.15
27,M,9,0,0,Pickup,12,57389,11930,Pessoal,Norte,Grande,Completa,0,257.94
27,M,7,1,2,SUV,7,119666,19762,Pessoal,Sul,Media,Intermediária,1,680.04
36,M,18,2,2,Pickup,8,84952,23116,Entrega,Sudeste,Grande,Básica,0,818.72
